                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17119,                0.59756,                      1,                 0.6083,                0.07025,              0.0033056,              0.0033056
                      1,                0.14554,                0.76829,                      1,                0.48104,               0.039593,              0.0059816,              0.0059816
                      2,                0.10121,                0.82439,                      1,                0.43974,              0.0082755,              0.0079977,              0.0079977
                      3,                0.05949,                0.91707,                      1,                0.36925,                0.00703,                0.00703,                0.00703
                      4,                0.04919,                0.90976,                      1,                0.37874,                0.00703,                0.00703,                0.00703
                      5,                0.03859,                0.94634,                      1,                0.34749,                0.00604,                0.00604,                0.00604
                      6,                0.02752,                0.93415,                      1,                0.34449,                0.00505,                0.00505,                0.00505
                      7,                0.02102,                0.94634,                      1,                0.34145,                0.00406,                0.00406,                0.00406
                      8,                0.01674,                0.95854,                      1,                0.32448,                0.00307,                0.00307,                0.00307
                      9,                0.00961,                0.97073,                      1,                0.31503,                0.00208,                0.00208,                0.00208
