                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15711,                0.78293,                      1,                0.52977,                0.07025,              0.0033056,              0.0033056
                      1,                0.11802,                0.82195,                      1,                0.46296,               0.039593,              0.0059816,              0.0059816
                      2,                0.07459,                 0.8122,                      1,                0.46209,              0.0082755,              0.0079977,              0.0079977
                      3,                0.05137,                 0.9122,                      1,                0.37581,                0.00703,                0.00703,                0.00703
                      4,                0.03649,                0.94146,                      1,                0.34676,                0.00703,                0.00703,                0.00703
                      5,                0.02624,                0.96341,                      1,                 0.3301,                0.00604,                0.00604,                0.00604
                      6,                0.02053,                 0.9561,                      1,                0.33252,                0.00505,                0.00505,                0.00505
                      7,                0.01233,                0.97317,                      1,                0.31567,                0.00406,                0.00406,                0.00406
                      8,                0.00882,                0.97805,                      1,                0.31422,                0.00307,                0.00307,                0.00307
                      9,                0.00888,                0.96829,                      1,                0.31148,                0.00208,                0.00208,                0.00208
