                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.13181,                0.84942,                      1,                 0.4632,               0.070041,              0.0033288,              0.0033288
                      1,                0.04846,                0.96396,                      1,                0.34786,               0.039909,              0.0065302,              0.0065302
                      2,                0.03109,                0.96676,                      1,                0.34082,              0.0096453,              0.0095996,              0.0095996
                      3,                 0.0218,                0.97877,                      1,                0.32966,               0.009406,               0.009406,               0.009406
                      4,                0.01467,                0.98478,                      1,                0.32321,               0.009406,               0.009406,               0.009406
                      5,                0.01065,                0.97958,                      1,                0.32547,               0.009208,               0.009208,               0.009208
                      6,                0.00846,                0.99039,                      1,                 0.3161,                0.00901,                0.00901,                0.00901
                      7,                0.00697,                0.97597,                      1,                0.33022,               0.008812,               0.008812,               0.008812
                      8,                 0.0062,                0.98919,                      1,                0.31709,               0.008614,               0.008614,               0.008614
                      9,                0.00696,                0.98759,                      1,                0.32019,               0.008416,               0.008416,               0.008416
                     10,                0.00445,                0.98398,                      1,                0.32013,               0.008218,               0.008218,               0.008218
                     11,                0.00407,                0.99039,                      1,                0.31697,                0.00802,                0.00802,                0.00802
                     12,                 0.0051,                0.98799,                      1,                0.31679,               0.007822,               0.007822,               0.007822
                     13,                0.00343,                0.99039,                      1,                0.31565,               0.007624,               0.007624,               0.007624
                     14,                0.00278,                0.99119,                      1,                 0.3143,               0.007426,               0.007426,               0.007426
                     15,                0.00278,                0.98959,                      1,                0.31477,               0.007228,               0.007228,               0.007228
                     16,                0.00285,                0.99319,                      1,                0.31324,                0.00703,                0.00703,                0.00703
                     17,                0.00193,                0.98959,                      1,                0.31557,               0.006832,               0.006832,               0.006832
                     18,                0.00155,                0.98919,                      1,                0.31536,               0.006634,               0.006634,               0.006634
                     19,                0.00208,                0.99199,                      1,                0.31295,               0.006436,               0.006436,               0.006436
                     20,                0.00138,                0.99119,                      1,                0.31389,               0.006238,               0.006238,               0.006238
                     21,                0.00116,                0.99159,                      1,                0.31398,                0.00604,                0.00604,                0.00604
                     22,                0.00151,                0.99399,                      1,                0.31187,               0.005842,               0.005842,               0.005842
                     23,                0.00041,                0.99199,                      1,                0.31307,               0.005644,               0.005644,               0.005644
                     24,                0.00014,                0.99279,                      1,                0.31282,               0.005446,               0.005446,               0.005446
                     25,                 0.0001,                0.99239,                      1,                0.31276,               0.005248,               0.005248,               0.005248
                     26,                  4e-05,                0.99239,                      1,                0.31237,                0.00505,                0.00505,                0.00505
                     27,                  4e-05,                0.99319,                      1,                0.31224,               0.004852,               0.004852,               0.004852
                     28,                  4e-05,                0.99239,                      1,                0.31229,               0.004654,               0.004654,               0.004654
                     29,                  4e-05,                0.99439,                      1,                0.31152,               0.004456,               0.004456,               0.004456
                     30,                  3e-05,                0.99159,                      1,                0.31252,               0.004258,               0.004258,               0.004258
                     31,                  3e-05,                0.99319,                      1,                0.31208,                0.00406,                0.00406,                0.00406
                     32,                  2e-05,                0.99319,                      1,                0.31205,               0.003862,               0.003862,               0.003862
                     33,                  2e-05,                0.99279,                      1,                0.31216,               0.003664,               0.003664,               0.003664
                     34,                  2e-05,                0.99319,                      1,                0.31194,               0.003466,               0.003466,               0.003466
                     35,                  2e-05,                0.99279,                      1,                0.31222,               0.003268,               0.003268,               0.003268
                     36,                  2e-05,                0.99319,                      1,                0.31195,                0.00307,                0.00307,                0.00307
                     37,                  2e-05,                0.99239,                      1,                0.31217,               0.002872,               0.002872,               0.002872
                     38,                  2e-05,                0.99239,                      1,                0.31228,               0.002674,               0.002674,               0.002674
                     39,                  2e-05,                0.99239,                      1,                0.31236,               0.002476,               0.002476,               0.002476
                     40,                  2e-05,                0.99319,                      1,                0.31211,               0.002278,               0.002278,               0.002278
                     41,                  2e-05,                0.99359,                      1,                0.31197,                0.00208,                0.00208,                0.00208
                     42,                  1e-05,                0.99319,                      1,                0.31215,               0.001882,               0.001882,               0.001882
                     43,                  2e-05,                0.99359,                      1,                0.31196,               0.001684,               0.001684,               0.001684
                     44,                  2e-05,                0.99319,                      1,                0.31218,               0.001486,               0.001486,               0.001486
                     45,                  2e-05,                0.99319,                      1,                 0.3122,               0.001288,               0.001288,               0.001288
                     46,                  3e-05,                0.99279,                      1,                0.31231,                0.00109,                0.00109,                0.00109
                     47,                  2e-05,                0.99359,                      1,                0.31186,               0.000892,               0.000892,               0.000892
                     48,                  6e-05,                0.99239,                      1,                0.31272,               0.000694,               0.000694,               0.000694
                     49,                  2e-05,                0.99239,                      1,                0.31277,               0.000496,               0.000496,               0.000496
