                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10456,                0.91748,                      1,                0.41192,               0.070056,              0.0033271,              0.0033271
                      1,                0.04409,                0.96743,                      1,                0.35503,               0.039924,              0.0065286,              0.0065286
                      2,                0.02126,                0.98751,                      1,                 0.3257,                0.00966,               0.009598,               0.009598
                      3,                0.01103,                 0.9924,                      1,                0.31908,               0.009406,               0.009406,               0.009406
                      4,                0.00535,                0.99783,                      1,                0.31379,               0.009406,               0.009406,               0.009406
                      5,                0.00194,                0.99783,                      1,                0.31302,               0.009208,               0.009208,               0.009208
                      6,                0.00185,                0.99783,                      1,                0.31375,                0.00901,                0.00901,                0.00901
                      7,                0.00177,                0.99837,                      1,                0.31501,               0.008812,               0.008812,               0.008812
                      8,                0.00144,                0.99674,                      1,                0.31403,               0.008614,               0.008614,               0.008614
                      9,                0.00108,                0.99837,                      1,                 0.3127,               0.008416,               0.008416,               0.008416
                     10,                0.00017,                0.99891,                      1,                0.31228,               0.008218,               0.008218,               0.008218
                     11,                  6e-05,                0.99837,                      1,                0.31238,                0.00802,                0.00802,                0.00802
                     12,                  9e-05,                0.99783,                      1,                0.31261,               0.007822,               0.007822,               0.007822
                     13,                  5e-05,                0.99783,                      1,                0.31268,               0.007624,               0.007624,               0.007624
                     14,                  4e-05,                0.99783,                      1,                0.31271,               0.007426,               0.007426,               0.007426
                     15,                  3e-05,                0.99783,                      1,                0.31255,               0.007228,               0.007228,               0.007228
                     16,                  3e-05,                0.99783,                      1,                0.31258,                0.00703,                0.00703,                0.00703
                     17,                  2e-05,                0.99783,                      1,                0.31269,               0.006832,               0.006832,               0.006832
                     18,                  4e-05,                0.99783,                      1,                0.31245,               0.006634,               0.006634,               0.006634
                     19,                  4e-05,                0.99783,                      1,                 0.3127,               0.006436,               0.006436,               0.006436
                     20,                  3e-05,                0.99783,                      1,                0.31258,               0.006238,               0.006238,               0.006238
                     21,                  2e-05,                0.99783,                      1,                0.31271,                0.00604,                0.00604,                0.00604
                     22,                  3e-05,                0.99783,                      1,                0.31246,               0.005842,               0.005842,               0.005842
                     23,                  3e-05,                0.99783,                      1,                0.31276,               0.005644,               0.005644,               0.005644
                     24,                  3e-05,                0.99783,                      1,                0.31259,               0.005446,               0.005446,               0.005446
                     25,                  2e-05,                0.99783,                      1,                0.31266,               0.005248,               0.005248,               0.005248
                     26,                  2e-05,                0.99783,                      1,                0.31251,                0.00505,                0.00505,                0.00505
                     27,                  3e-05,                0.99837,                      1,                0.31239,               0.004852,               0.004852,               0.004852
                     28,                  2e-05,                0.99783,                      1,                 0.3127,               0.004654,               0.004654,               0.004654
                     29,                  2e-05,                0.99783,                      1,                0.31254,               0.004456,               0.004456,               0.004456
                     30,                  2e-05,                0.99783,                      1,                0.31265,               0.004258,               0.004258,               0.004258
                     31,                  2e-05,                0.99837,                      1,                0.31247,                0.00406,                0.00406,                0.00406
                     32,                  2e-05,                0.99837,                      1,                0.31251,               0.003862,               0.003862,               0.003862
                     33,                  2e-05,                0.99837,                      1,                0.31241,               0.003664,               0.003664,               0.003664
                     34,                  2e-05,                0.99783,                      1,                0.31297,               0.003466,               0.003466,               0.003466
                     35,                  2e-05,                0.99783,                      1,                 0.3128,               0.003268,               0.003268,               0.003268
                     36,                  2e-05,                0.99783,                      1,                0.31282,                0.00307,                0.00307,                0.00307
                     37,                  2e-05,                0.99783,                      1,                 0.3126,               0.002872,               0.002872,               0.002872
                     38,                  2e-05,                0.99783,                      1,                 0.3126,               0.002674,               0.002674,               0.002674
                     39,                  2e-05,                0.99783,                      1,                0.31262,               0.002476,               0.002476,               0.002476
                     40,                  2e-05,                0.99783,                      1,                0.31268,               0.002278,               0.002278,               0.002278
                     41,                  2e-05,                0.99783,                      1,                0.31266,                0.00208,                0.00208,                0.00208
                     42,                  2e-05,                0.99783,                      1,                0.31264,               0.001882,               0.001882,               0.001882
                     43,                0.00018,                0.99783,                      1,                0.31284,               0.001684,               0.001684,               0.001684
                     44,                  2e-05,                0.99783,                      1,                0.31284,               0.001486,               0.001486,               0.001486
                     45,                  2e-05,                0.99783,                      1,                0.31277,               0.001288,               0.001288,               0.001288
                     46,                  2e-05,                0.99783,                      1,                0.31274,                0.00109,                0.00109,                0.00109
                     47,                  2e-05,                0.99783,                      1,                0.31274,               0.000892,               0.000892,               0.000892
                     48,                  2e-05,                0.99783,                      1,                0.31273,               0.000694,               0.000694,               0.000694
                     49,                  2e-05,                0.99783,                      1,                0.31272,               0.000496,               0.000496,               0.000496
