                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17286,                0.55122,                      1,                0.63153,                0.07025,              0.0033056,              0.0033056
                      1,                0.17042,                0.60732,                      1,                0.62317,               0.039593,              0.0059816,              0.0059816
                      2,                0.15423,                0.68293,                      1,                0.54485,              0.0082755,              0.0079977,              0.0079977
                      3,                0.06947,                0.96829,                      1,                0.32643,                0.00703,                0.00703,                0.00703
                      4,                0.02876,                0.99268,                      1,                 0.3021,                0.00703,                0.00703,                0.00703
                      5,                0.01029,                0.99024,                      1,                0.29762,                0.00604,                0.00604,                0.00604
                      6,                0.00682,                0.99756,                      1,                0.29115,                0.00505,                0.00505,                0.00505
                      7,                0.00408,                0.99756,                      1,                0.29079,                0.00406,                0.00406,                0.00406
                      8,                0.00223,                0.99268,                      1,                0.29298,                0.00307,                0.00307,                0.00307
                      9,                0.00222,                0.99268,                      1,                0.29184,                0.00208,                0.00208,                0.00208
