                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.09028,                0.88539,                      1,                0.45468,               0.070055,              0.0033273,              0.0033273
                      1,                0.08673,                0.88539,                      1,                0.42193,               0.039923,              0.0065287,              0.0065287
                      2,                0.04394,                0.98721,                      1,                0.32884,               0.009659,              0.0095982,              0.0095982
                      3,                0.00789,                0.99414,                      1,                0.31499,               0.009406,               0.009406,               0.009406
                      4,                0.00366,                 0.9968,                      1,                0.31095,               0.009406,               0.009406,               0.009406
                      5,                 0.0029,                0.99787,                      1,                0.30899,               0.009208,               0.009208,               0.009208
                      6,                0.00145,                 0.9984,                      1,                0.30823,                0.00901,                0.00901,                0.00901
                      7,                 0.0006,                0.99947,                      1,                0.30671,               0.008812,               0.008812,               0.008812
                      8,                0.00014,                0.99947,                      1,                0.30669,               0.008614,               0.008614,               0.008614
                      9,                0.00019,                 0.9984,                      1,                0.30733,               0.008416,               0.008416,               0.008416
                     10,                0.00034,                      1,                      1,                0.30632,               0.008218,               0.008218,               0.008218
                     11,                0.00014,                      1,                      1,                0.30666,                0.00802,                0.00802,                0.00802
                     12,                0.00068,                0.99733,                      1,                0.30806,               0.007822,               0.007822,               0.007822
                     13,                 0.0007,                 0.9984,                      1,                0.30779,               0.007624,               0.007624,               0.007624
                     14,                0.00015,                      1,                      1,                0.30622,               0.007426,               0.007426,               0.007426
                     15,                  4e-05,                      1,                      1,                0.30627,               0.007228,               0.007228,               0.007228
                     16,                  4e-05,                      1,                      1,                0.30616,                0.00703,                0.00703,                0.00703
                     17,                  2e-05,                      1,                      1,                0.30614,               0.006832,               0.006832,               0.006832
                     18,                  2e-05,                      1,                      1,                0.30613,               0.006634,               0.006634,               0.006634
                     19,                  2e-05,                      1,                      1,                0.30613,               0.006436,               0.006436,               0.006436
                     20,                  2e-05,                      1,                      1,                0.30613,               0.006238,               0.006238,               0.006238
                     21,                  1e-05,                      1,                      1,                0.30612,                0.00604,                0.00604,                0.00604
                     22,                  2e-05,                      1,                      1,                0.30614,               0.005842,               0.005842,               0.005842
                     23,                  1e-05,                      1,                      1,                0.30612,               0.005644,               0.005644,               0.005644
                     24,                  1e-05,                      1,                      1,                0.30612,               0.005446,               0.005446,               0.005446
                     25,                  1e-05,                      1,                      1,                0.30613,               0.005248,               0.005248,               0.005248
                     26,                  1e-05,                      1,                      1,                0.30613,                0.00505,                0.00505,                0.00505
                     27,                  1e-05,                      1,                      1,                0.30612,               0.004852,               0.004852,               0.004852
                     28,                  1e-05,                      1,                      1,                0.30612,               0.004654,               0.004654,               0.004654
                     29,                  1e-05,                      1,                      1,                0.30612,               0.004456,               0.004456,               0.004456
                     30,                  1e-05,                      1,                      1,                0.30613,               0.004258,               0.004258,               0.004258
                     31,                  1e-05,                      1,                      1,                0.30613,                0.00406,                0.00406,                0.00406
                     32,                  1e-05,                      1,                      1,                0.30612,               0.003862,               0.003862,               0.003862
                     33,                  1e-05,                      1,                      1,                0.30612,               0.003664,               0.003664,               0.003664
                     34,                  1e-05,                      1,                      1,                0.30612,               0.003466,               0.003466,               0.003466
                     35,                  2e-05,                      1,                      1,                0.30613,               0.003268,               0.003268,               0.003268
                     36,                  1e-05,                      1,                      1,                0.30613,                0.00307,                0.00307,                0.00307
                     37,                  1e-05,                      1,                      1,                0.30613,               0.002872,               0.002872,               0.002872
                     38,                  1e-05,                      1,                      1,                0.30613,               0.002674,               0.002674,               0.002674
                     39,                  1e-05,                      1,                      1,                0.30613,               0.002476,               0.002476,               0.002476
                     40,                  1e-05,                      1,                      1,                0.30614,               0.002278,               0.002278,               0.002278
                     41,                  1e-05,                      1,                      1,                0.30613,                0.00208,                0.00208,                0.00208
                     42,                  1e-05,                      1,                      1,                0.30613,               0.001882,               0.001882,               0.001882
                     43,                  1e-05,                      1,                      1,                0.30613,               0.001684,               0.001684,               0.001684
                     44,                  1e-05,                      1,                      1,                0.30613,               0.001486,               0.001486,               0.001486
                     45,                  1e-05,                      1,                      1,                0.30613,               0.001288,               0.001288,               0.001288
                     46,                  1e-05,                      1,                      1,                0.30613,                0.00109,                0.00109,                0.00109
                     47,                  1e-05,                      1,                      1,                0.30613,               0.000892,               0.000892,               0.000892
                     48,                  1e-05,                      1,                      1,                0.30613,               0.000694,               0.000694,               0.000694
                     49,                  1e-05,                      1,                      1,                0.30613,               0.000496,               0.000496,               0.000496
